X,Y,Signal Strength,Signal Quality,Network
67.08834916,24.97591205,24,Good,Jazz
67.0901491,24.96989638,24,Good,Telenor
67.0906416,24.97222886,18,Moderate,Telenor
67.08980694,24.98960977,10.94117647,Bad,Jazz
67.08766216,24.98899341,31,Great,Jazz
67.08816685,24.9897596,19.81818182,Moderate,Jazz
67.08761325,24.98998585,23.28571429,Good,Jazz
67.09073065,24.98088956,22.07142857,Good,Telenor
67.09012464,24.98126278,20.14705882,Moderate,Telenor
67.08895655,24.98142347,25.28571429,Good,Telenor
67.0882416,24.9779421,20,Moderate,Telenor
67.09000616,24.98995547,30.25,Great,Jazz
67.08963823,24.98798449,12.125,Bad,Jazz
67.0883164,24.97645755,20,Moderate,Telenor
67.08938373,24.98219395,27.06666667,Great,Telenor
67.0891439,24.99017472,15.30434783,Moderate,Telenor
67.08705576,24.98991285,21,Good,Telenor
67.08908144,24.99082106,11.84615385,Bad,Telenor
67.08955113,24.9820121,30,Great,Telenor
67.08750784,24.99222522,17.3,Moderate,Telenor
67.08710207,24.98788744,31,Great,Jazz
67.08794249,24.98543262,21.6,Good,Jazz
67.08832575,24.98709029,25.17647059,Good,Telenor
67.08716987,24.9870424,8.25,No Coverage,Jazz
67.08935838,24.9862922,19.06896552,Moderate,Telenor
67.08955855,24.98630997,21.3,Good,Telenor
67.08838624,24.99469724,31,Great,Jazz
67.08818047,24.99084672,30.25,Great,Jazz
67.08799339,24.98453603,28.63636364,Great,Jazz
67.08895691,24.98858129,12,Bad,Jazz
67.0879158,24.98563171,22.88888889,Good,Jazz
67.08879828,24.98710696,28.93333333,Great,Jazz
67.09053199,24.98165405,22.58333333,Good,Jazz
67.08656956,24.9772537,16.625,Moderate,Jazz
67.0876671,24.98859906,30.2,Great,Jazz
67.08981048,24.98903358,24,Good,Jazz
67.0874968,24.99321608,18.36363636,Moderate,Telenor
67.08683627,24.99292254,18.66666667,Moderate,Telenor
67.0880356,24.98353918,20.63636364,Moderate,Telenor
67.08682689,24.99352782,20.23076923,Moderate,Telenor
67.08685515,24.99263325,14.82352941,Bad,Telenor
67.08992086,24.98238876,31,Great,Telenor
67.08919817,24.97333855,15.33333333,Moderate,Telenor
67.08863364,24.98859222,21.22222222,Good,Telenor
67.08740062,24.99403582,16.55555556,Moderate,Telenor
67.08972431,24.98849986,21.35714286,Good,Jazz
67.08698896,24.97092967,15.33333333,Moderate,Telenor
67.08740526,24.99397496,23.58333333,Good,Telenor
67.08865115,24.98922263,29.2,Great,Jazz
67.08898477,24.96781184,19.5,Moderate,Telenor
67.08797798,24.98196473,21.83333333,Good,Telenor
67.08896222,24.98503447,23.23529412,Good,Telenor
67.09000239,24.98992868,29.41666667,Great,Jazz
67.0897192,24.97294154,14.6875,Bad,Telenor
67.08835075,24.97588543,23.06666667,Good,Telenor
67.08864914,24.97552335,18,Moderate,Telenor
67.08623511,24.98345418,31,Great,Jazz
67.08826925,24.98032367,23.54545455,Good,Telenor
67.08879452,24.98757199,19.57142857,Moderate,Telenor
67.088321,24.99582792,26.46666667,Good,Jazz
67.08822821,24.98841399,25,Good,Zong
67.08696048,24.99102702,22.82352941,Good,Telenor
67.086813,24.97375933,29.46666667,Great,Jazz
67.08794711,24.99398289,15.57142857,Moderate,Telenor
67.08835532,24.97874721,21.25,Good,Telenor
67.08713704,24.98832552,16.25,Moderate,Telenor
67.08781803,24.99576442,24.75,Good,Jazz
67.08892854,24.98324211,22.92307692,Good,Telenor
67.08827383,24.99664115,17.08333333,Moderate,Jazz
67.08726358,24.99566821,18.52631579,Moderate,Telenor
67.09020681,24.9795679,11.53333333,Bad,Telenor
67.08978233,24.9781744,26.56521739,Good,Telenor
67.08988629,24.97877082,21.8,Good,Telenor
67.08648376,24.97898033,29.85714286,Great,Jazz
67.08998555,24.9706768,30.6,Great,Telenor
67.08720058,24.97128443,25.30555556,Good,Telenor
67.08721694,24.9960206,10.4375,Bad,Telenor
67.08699284,24.99468628,19.85714286,Moderate,Telenor
67.08830581,24.99608704,17,Moderate,Telenor
67.08885144,24.98670464,25.66666667,Good,Telenor
67.08911964,24.97445526,24,Good,Telenor
67.08746426,24.97729444,17.76923077,Moderate,Telenor
67.08772715,24.98601972,25.2,Good,Jazz
67.08670308,24.99399458,20.33333333,Moderate,Telenor
67.0899907,24.99036138,27.16666667,Great,Jazz
67.0869786,24.98979042,16.26666667,Moderate,Telenor
67.08821498,24.97813115,18.91666667,Moderate,Telenor
67.08664587,24.97644742,31,Great,Telenor
67.08949535,24.98200882,23.72222222,Good,Telenor
67.08882973,24.98247494,27.58333333,Great,Telenor
67.08995611,24.99010878,14.95454545,Bad,Jazz
67.08707587,24.98954939,24.5,Good,Telenor
67.08681959,24.97365313,31,Great,Jazz
67.08778449,24.97924952,20.81818182,Moderate,Telenor
67.08777317,24.97893136,20,Moderate,Telenor
67.08858346,24.97013352,16.33333333,Moderate,Telenor
67.08964764,24.97951114,7,No Coverage,Telenor
67.08769707,24.99083573,21.42105263,Good,Telenor
67.08689688,24.99201001,18.52941176,Moderate,Telenor
67.08688639,24.97257842,20,Moderate,Jazz
67.08678458,24.97421469,28.33333333,Great,Jazz
67.08905681,24.98956367,27.5,Great,Telenor
67.08944587,24.9823724,29.91666667,Great,Telenor
67.08972926,24.98853165,24.33333333,Good,Jazz
67.08748297,24.99245638,18,Moderate,Telenor
67.08765347,24.989167,12.5,Bad,Telenor
67.0870628,24.98978633,19.5,Moderate,Jazz
67.08950531,24.97666741,15,Moderate,Telenor
67.08923614,24.97290418,22.8,Good,Telenor
67.08875178,24.98322773,19.875,Moderate,Telenor
67.08957667,24.98758229,31,Great,Telenor
67.08723639,24.98219742,20.25,Moderate,Telenor
67.08932839,24.97143161,20.63636364,Moderate,Telenor
67.08757521,24.99067958,26.29411765,Good,Jazz
67.08797436,24.99351275,24,Good,Telenor
67.08770865,24.99677975,17.55555556,Moderate,Jazz
67.08885522,24.97818953,22.71428571,Good,Telenor
67.08978434,24.97667692,22.5,Good,Telenor
67.088827,24.97132554,16.63636364,Moderate,Telenor
67.10159261,24.99672998,25.18181818,Good,Jazz
67.08850118,24.99067241,30.33333333,Great,Jazz
67.08933604,24.97670542,16.61538462,Moderate,Telenor
67.08859411,24.99077636,22.46153846,Good,Jazz
67.09125962,24.98085514,22.41666667,Good,Telenor
67.08760401,24.99015577,23,Good,Telenor
67.0864707,24.97958403,22.46153846,Good,Telenor
67.08803882,24.9809462,30.95652174,Great,Telenor
67.09012789,24.96996003,23.16666667,Good,Telenor
67.08872627,24.98237104,17.15384615,Moderate,Jazz
67.08818016,24.98957149,21.13043478,Good,Telenor
67.09073792,24.98012418,24.91666667,Good,Telenor
67.09098189,24.98237721,23.08333333,Good,Telenor
67.08951389,24.98134925,25.875,Good,Jazz
67.09012614,24.98123597,31,Great,Telenor
67.08794787,24.9853324,19.04761905,Moderate,Telenor
67.086272,24.98449315,27,Great,Jazz
67.08883495,24.96785961,23.16666667,Good,Telenor
67.08636944,24.9814669,20.83783784,Moderate,Telenor
67.08762828,24.98971394,31,Great,Telenor
67.08908549,24.97403803,15.5,Moderate,Telenor
67.06906785,24.92642338,18.14285714,Moderate,Telenor
67.08916778,24.97354777,25.18181818,Good,Telenor
67.0890455,24.96470253,28.3,Great,Telenor
67.10974473,25.01170222,26.36363636,Good,Telenor
67.09088374,24.97153236,31,Great,Telenor
67.1345859,24.93709732,31,Great,Jazz
67.13382992,24.91471405,15.5,Moderate,Jazz
67.13317537,24.91804943,14.71428571,Bad,Telenor
67.36167606,24.87267184,29.33333333,Great,Jazz
67.3674478,24.87165064,31,Great,Jazz
67.36270719,24.86998336,31,Great,Jazz
67.36930753,24.87445426,12.88888889,Bad,Jazz
67.3573029,24.86830287,31,Great,Jazz
67.12323677,24.9255146,26.54545455,Good,Jazz
67.12967722,24.91823063,28.9,Great,Telenor
67.13138299,24.91776746,31,Great,Telenor
67.13136988,24.91819371,31,Great,Telenor
67.13168502,24.91679453,18.27272727,Moderate,Telenor
67.13135124,24.91773773,31,Great,Telenor
67.13282102,24.91957961,31,Great,Telenor
67.13333053,24.92032317,19.73684211,Moderate,Telenor
67.13120789,24.9169303,8.133333333,No Coverage,Telenor
67.13053977,24.91885335,31,Great,Telenor
67.12959479,24.91815328,27.15384615,Great,Telenor
67.12973647,24.91953748,31,Great,Jazz
67.13025069,24.91734537,26.33333333,Good,Jazz
67.13153963,24.918603,24.125,Good,Jazz
67.1328839,24.92017798,27.28571429,Great,Jazz
67.13180035,24.91911025,31,Great,Jazz
67.12976622,24.91622395,18.8,Moderate,Jazz
67.1299208,24.91602227,26,Good,Jazz
67.13217138,24.91937621,30.95652174,Great,Jazz
67.13286387,24.92015813,25.75,Good,Jazz
67.13026064,24.92076035,26.5,Good,Jazz
67.12924164,24.91903919,28.14285714,Great,Jazz
67.09622561,24.90443256,28.92857143,Great,Telenor
67.09695441,24.90435389,27.16666667,Great,Telenor
67.09339795,24.93822942,31,Great,Telenor
67.08624991,24.91022205,31,Great,Telenor
67.08497639,24.90934986,31,Great,Telenor
67.09278893,24.90642358,14.5,Bad,Telenor
67.08813419,24.90745974,26.44444444,Good,Telenor
67.08867551,24.90448967,31,Great,Telenor
67.09406133,24.92849161,31,Great,Telenor
67.09527025,24.93160506,22.17391304,Good,Zong
67.0878869,24.91134309,29.05555556,Great,Telenor
67.11057544,24.91849126,31,Great,Telenor
67.08132246,24.91495082,31,Great,Telenor
67.08016932,24.89902047,28.28571429,Great,Telenor
67.09391298,24.92210863,24.75,Good,Telenor
67.07959408,24.90653286,23.22222222,Good,Telenor
67.09688588,24.93432425,28.92307692,Great,Jazz
67.09995114,24.91776129,31,Great,Jazz
67.1047853,24.93384189,25.33333333,Good,Jazz
67.09242565,24.92371062,25.09090909,Good,Telenor
67.08207767,24.90823005,24.41176471,Good,Jazz
67.09498729,24.9349008,23.96153846,Good,Jazz
67.07467645,24.90765376,29,Great,Jazz
67.08111336,24.92195943,28.11764706,Great,Jazz
67.09637781,24.92884531,27.88235294,Great,Jazz
67.07732954,24.90413952,27.76923077,Great,Jazz
67.09932321,24.91552751,12.26666667,Bad,Jazz
67.13906988,24.92962066,24.77777778,Good,Telenor
67.14014938,24.93862248,28.3,Great,Telenor
67.1398113,24.93588609,30,Great,Telenor
67.13810371,24.93480455,26.76470588,Good,Telenor
67.13732227,24.93477291,20.35294118,Moderate,Telenor
67.1396219,24.92970479,31,Great,Telenor
67.13907924,24.92967705,21.42857143,Good,Telenor
67.13966188,24.92985374,21.55555556,Good,Telenor
67.13927651,24.93448285,24.70588235,Good,Telenor
67.14217714,24.93945987,27,Great,Jazz
67.14000823,24.93911005,31,Great,Jazz
67.13729818,24.9332683,24.75,Good,Jazz
67.13441957,24.92858901,30.33333333,Great,Telenor
67.13607065,24.93500424,28.08333333,Great,Telenor
67.13402457,24.93420034,16,Moderate,Telenor
67.13407189,24.92909387,31,Great,Telenor
67.16357204,24.84307914,27.55555556,Great,Jazz
67.16417927,24.83809902,18.63636364,Moderate,Jazz
67.16450479,24.83600403,23.27777778,Good,Jazz
67.16502392,24.83582711,28.81818182,Great,Jazz
67.17113625,24.83418611,29.33333333,Great,Jazz
67.1628308,24.84207531,27.03333333,Great,Jazz
67.16930517,24.83548868,7,No Coverage,Jazz
67.16865143,24.83553572,20,Moderate,Telenor
67.16586868,24.83621213,10.66666667,Bad,Telenor
67.1671322,24.83759986,17,Moderate,Telenor
67.17081432,24.83467816,22.33333333,Good,Telenor
67.16399791,24.83470787,20.36363636,Moderate,Telenor
67.16992626,24.83541918,24,Good,Telenor
67.10700498,25.01123353,31,Great,Zong
67.09120754,24.99781445,25.2,Good,Telenor
67.13062234,24.92916418,25.33333333,Good,Telenor
67.12800043,24.93078743,22.5,Good,Telenor
67.13015246,24.93000056,15.64285714,Moderate,Telenor
67.12600467,24.93245491,21.23076923,Good,Telenor
67.12911368,24.92957317,28.05555556,Great,Jazz
67.12687696,24.93269042,31,Great,Jazz
